mfa_enabled,firewall_active,password_min_length,special_chars_required,total_tasks,completed_tasks,evidence_complete_tasks,risk_level,compliance_score
0,0,6,1,4,0,0,3,5.3
0,0,12,0,19,13,0,3,20.0
1,1,14,1,18,13,3,1,78.5
0,1,8,0,14,5,2,3,37.0
1,1,12,1,12,9,4,0,83.4
1,1,8,0,18,9,9,1,74.0
1,1,10,1,10,1,0,1,62.0
1,1,6,1,12,3,2,1,61.0
1,1,12,1,8,2,1,1,76.1
1,1,6,1,2,0,0,2,55.4
1,1,10,0,11,3,3,1,64.7
1,1,12,1,18,17,8,0,91.3
0,0,6,1,5,4,3,3,26.8
1,1,10,0,14,9,1,1,66.2
1,1,8,0,1,0,0,2,55.0
1,0,12,1,9,8,2,2,58.4
1,1,14,1,7,2,1,1,72.7
0,1,16,1,11,7,0,2,49.8
1,1,16,1,8,1,0,1,69.0
1,1,16,1,16,5,2,1,77.2
1,1,10,1,7,4,3,1,75.0
0,1,12,0,8,1,1,2,45.0
1,1,6,0,2,0,0,2,51.0
1,1,10,1,7,2,2,1,73.4
1,1,10,1,7,1,0,1,61.8
1,1,6,0,4,0,0,2,50.2
0,0,16,1,5,3,1,3,32.2
1,1,4,0,18,3,0,2,53.2
1,0,10,0,8,2,1,3,37.3
0,1,12,1,13,4,3,2,53.7
0,1,12,1,16,4,1,2,50.2
1,1,8,1,2,0,0,1,60.5
1,0,6,1,6,0,0,3,28.5
1,1,12,1,20,1,0,1,68.7
1,1,8,0,11,3,2,1,65.9
1,1,6,1,3,0,0,2,55.0
1,1,8,1,5,2,0,1,68.2
0,1,8,1,20,20,16,1,66.6
1,1,8,0,5,2,0,1,60.3
1,1,16,0,11,3,2,1,72.2
1,0,16,0,9,0,0,3,39.7
0,1,12,0,14,8,0,2,42.9
0,0,8,1,12,9,8,3,35.6
1,1,10,1,2,1,0,1,70.2
1,1,14,1,20,4,1,1,70.1
1,1,8,0,11,6,6,1,75.6
1,0,14,1,13,13,0,2,53.8
1,1,8,0,8,3,0,1,63.4
1,1,12,1,12,10,8,0,89.4
1,1,6,1,9,2,2,1,63.0
1,0,14,0,11,6,4,2,50.0
1,0,12,0,14,0,0,3,38.9
1,1,10,0,4,2,2,1,70.8
1,1,12,0,14,10,6,0,81.0
0,1,12,0,1,1,1,1,69.7
1,1,12,1,7,7,2,0,83.3
1,0,4,1,8,4,1,3,38.2
